Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Detector Time,Descriptor Time,Matches
AKAZE,SIFT,1,1327,157,44.4905,19.7249,136
AKAZE,SIFT,2,1311,161,49.9027,18.4811,135
AKAZE,SIFT,3,1351,155,47.052,18.6353,134
AKAZE,SIFT,4,1360,163,48.2428,19.3274,137
AKAZE,SIFT,5,1347,164,44.5977,18.2376,140
AKAZE,SIFT,6,1363,173,48.7207,18.8879,142
AKAZE,SIFT,7,1331,175,48.9989,19.2763,151
AKAZE,SIFT,8,1357,177,45.6624,20.4852,149
AKAZE,SIFT,9,1331,179,50.0769,18.9329,153
""
SIFT,BRISK,0,1438,138,89.7141,1.37459,0
SIFT,BRISK,1,1371,132,86.3054,1.42747,76
SIFT,BRISK,2,1380,124,86.0582,1.22949,70
SIFT,BRISK,3,1335,137,87.5139,1.33234,76
SIFT,BRISK,4,1305,134,86.0253,1.29884,78
SIFT,BRISK,5,1370,140,85.7423,1.35942,81
SIFT,BRISK,6,1396,137,86.8125,1.33859,76
SIFT,BRISK,7,1382,148,86.2596,1.45073,71
SIFT,BRISK,8,1463,159,90.2758,1.53098,89
SIFT,BRISK,9,1422,137,86.9592,1.3293,85
""
SIFT,BRIEF,0,1438,138,93.3557,0.564082,0
SIFT,BRIEF,1,1371,132,86.358,0.539275,83
SIFT,BRIEF,2,1380,124,86.8535,0.499339,76
SIFT,BRIEF,3,1335,137,86.2006,0.537908,83
SIFT,BRIEF,4,1305,134,89.7096,0.51014,89
SIFT,BRIEF,5,1370,140,86.4413,0.541507,83
SIFT,BRIEF,6,1396,137,86.2865,0.525411,81
SIFT,BRIEF,7,1382,148,85.9379,0.543798,74
SIFT,BRIEF,8,1463,159,88.9417,0.595094,94
SIFT,BRIEF,9,1422,137,89.7813,0.531366,90
""
SIFT,FREAK,0,1438,138,93.4996,31.4331,0
SIFT,FREAK,1,1371,132,86.2058,31.5555,75
SIFT,FREAK,2,1380,124,89.3074,31.2919,72
SIFT,FREAK,3,1335,137,88.9439,32.9459,76
SIFT,FREAK,4,1305,134,86.2236,31.408,79
SIFT,FREAK,5,1370,140,90.0357,31.8724,78
SIFT,FREAK,6,1396,137,90.6121,31.4344,72
SIFT,FREAK,7,1382,148,87.6369,31.5224,65
SIFT,FREAK,8,1463,159,90.2992,31.4408,82
SIFT,FREAK,9,1422,137,87.1217,31.5838,84
""
SIFT,SIFT,0,1438,138,90.5754,78.0976,0
SIFT,SIFT,1,1371,132,74.1925,62.2338,91
SIFT,SIFT,2,1380,124,72.4317,61.9297,80
SIFT,SIFT,3,1335,137,71.4422,63.2671,89
SIFT,SIFT,4,1305,134,71.7831,62.5991,93
SIFT,SIFT,5,1370,140,75.8869,61.9767,96
SIFT,SIFT,6,1396,137,71.1914,61.6863,86
SIFT,SIFT,7,1382,148,73.8882,61.4943,90
SIFT,SIFT,8,1463,159,75.092,64.4438,105
SIFT,SIFT,9,1422,137,76.8402,62.5934,102
""
